matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_394177910,2621,102,0,10,152816,31474,1880,1539,817,72662,88,682,605,168,225,105,35,56,False,0,False,0,False,0,False,3,23692,False,34,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,90,104,202,82,63,122,33,202,555,11,200,False
OC1_489718153,2021,143,16,21,123520,39673,1535,1609,588,67908,81,730,593,221,468,56,24,45,False,0,False,3,True,2,False,10,77655,True,47,True,2,75,20,157,51,25,86,11,76,21,89,104,166,518,22,23,35,-1,24,23,99,100,True
OC1_489718153,2021,119,4,14,126725,35193,1489,606,658,66690,82,687,425,370,326,275,30,35,False,0,True,2,False,0,True,4,54141,False,43,False,0,86,11,76,21,89,75,20,157,51,25,104,166,518,22,23,35,-1,24,23,99,200,False
OC1_481892816,1217,41,1,6,49127,12798,180,226,374,41336,57,765,244,165,110,23,21,14,False,0,True,2,True,3,True,11,53467,True,25,True,1,875,11,55,21,350,84,33,75,18,25,48,20,360,-1,202,7,96,157,133,48,100,True
OC1_481892816,1217,42,0,5,21256,3085,477,415,340,27089,51,479,228,98,111,18,23,12,False,0,False,0,False,0,False,0,8439,False,9,False,0,84,33,75,18,25,875,11,55,21,350,48,20,360,-1,202,7,96,157,133,48,200,False
OC1_408706693,2801,157,13,26,166682,51680,1453,1325,751,85520,90,475,622,490,288,346,28,53,False,1,True,5,False,5,False,11,83868,True,54,False,0,6,141,1,202,101,17,24,127,18,53,25,77,21,147,82,54,122,11,238,111,100,True
OC1_408706693,2801,170,1,14,125761,37650,2221,1795,820,80774,87,660,386,329,192,163,52,31,True,1,False,2,True,2,True,8,60107,False,36,True,1,17,24,127,18,53,6,141,1,202,101,25,77,21,147,82,54,122,11,238,111,200,False
OC1_408606974,1404,112,10,17,67259,22793,459,775,490,47486,60,518,367,244,238,137,27,14,False,0,True,3,True,1,True,8,57097,False,27,True,2,24,20,42,81,235,86,33,3,202,111,-1,-1,777,2,51,157,236,67,875,25,200,True
OC1_408606974,1404,55,2,12,50672,11071,608,903,417,37897,59,444,222,155,121,39,26,15,False,0,False,0,False,0,False,1,13786,True,19,False,0,86,33,3,202,111,24,20,42,81,235,-1,-1,777,2,51,157,236,67,875,25,100,False
OC1_408299311,1973,96,3,13,125226,46088,1146,2186,531,63673,79,749,697,194,205,48,26,42,False,0,True,3,True,3,False,11,50469,False,46,True,1,14,19,30,235,875,164,62,777,145,111,22,29,25,23,105,83,360,105,86,64,100,True
OC1_408299311,1973,90,3,12,110999,33684,1423,901,553,60873,77,432,626,273,383,52,40,21,True,1,False,2,False,0,True,5,59433,True,39,False,1,164,62,777,145,111,14,19,30,235,875,22,29,25,23,105,83,360,105,86,64,200,False
OC1_407224408,2221,186,5,9,139911,69258,1195,1328,493,72903,82,381,419,485,172,41,44,26,True,1,False,3,True,3,True,11,87445,False,61,True,1,80,421,268,22,235,17,24,90,202,25,360,238,18,82,141,234,29,-1,157,23,100,True
OC1_407224408,2221,81,1,12,130711,33147,1965,1602,542,61892,77,442,396,368,227,132,28,34,False,0,True,2,False,0,False,4,24399,True,34,False,0,17,24,90,202,25,80,421,268,22,235,360,238,18,82,141,234,29,-1,157,23,200,False
OC1_406914700,1767,103,3,10,96777,26973,598,1030,527,58392,73,784,272,237,180,209,34,25,False,0,True,4,True,3,True,11,65185,True,43,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,555,75,105,119,157,39,157,37,11,99,200,True
OC1_406914700,1767,81,6,14,60806,21834,1341,567,432,44211,64,458,448,237,196,30,24,26,False,0,False,0,False,0,False,1,12724,False,20,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,555,75,105,119,157,39,157,37,11,99,100,False
OC1_406553097,2050,119,4,9,126819,40782,555,1306,584,68367,84,448,628,252,269,36,18,36,True,2,True,3,True,2,True,10,80818,True,49,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,234,157,84,360,32,105,67,99,122,51,100,True
OC1_406553097,2050,62,2,14,79561,40510,1563,1087,550,50137,70,308,580,269,338,111,27,39,False,0,False,2,False,0,False,4,45009,False,17,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,234,157,84,360,32,105,67,99,122,51,200,False
OC1_406146546,1352,78,7,21,53630,18417,273,1275,386,42254,61,294,211,211,179,105,22,12,False,0,True,2,True,1,True,7,47100,True,30,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,360,75,50,2,157,122,53,105,51,200,True
OC1_406146546,1352,66,3,8,38974,11184,622,662,331,31330,53,413,203,218,123,19,22,13,False,0,False,0,False,0,False,0,3413,False,11,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,360,75,50,2,157,122,53,105,51,100,False
OC1_404879683,2352,84,2,10,105899,52536,1111,913,741,73843,85,462,449,127,159,56,26,33,False,0,True,3,False,3,False,11,69887,False,45,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,54,157,141,82,122,45,82,420,99,157,200,True
OC1_404879683,2352,125,0,5,100287,25856,1456,1688,671,65514,81,454,637,266,241,38,27,38,False,0,False,3,True,2,True,8,57000,True,33,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,54,157,141,82,122,45,82,420,99,157,100,False
OC1_400117813,1792,102,4,21,77248,33445,703,1223,574,59818,76,408,418,283,213,59,20,34,False,0,True,3,True,3,True,11,60828,False,39,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,266,145,157,122,122,39,555,526,75,19,200,True
OC1_400117813,1792,76,3,10,74529,19838,1116,1287,569,48837,75,902,364,324,216,48,17,27,False,0,False,0,False,0,False,1,5026,False,21,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,266,145,157,122,122,39,555,526,75,19,100,False
OC1_400016698,1843,79,2,13,93839,34779,896,857,578,59583,78,520,429,286,203,90,34,18,False,0,False,2,True,2,False,10,50861,False,40,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,75,63,157,104,84,150,103,202,120,63,200,True
OC1_400016698,1843,107,16,27,78745,30078,1153,960,455,53399,75,574,393,303,213,75,35,23,True,1,True,2,False,0,True,3,55202,True,28,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,75,63,157,104,84,150,103,202,120,63,100,False
OC1_397620351,1446,80,0,7,47603,27889,200,692,372,39220,64,629,383,164,135,68,20,12,False,0,True,2,False,0,True,5,34168,False,23,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,141,22,555,122,56,19,75,157,875,11,200,True
OC1_397620351,1446,56,0,22,35013,8792,540,553,398,30305,54,694,232,148,253,37,17,18,False,0,False,1,False,0,False,1,14443,True,7,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,141,22,555,122,56,19,75,157,875,11,100,False
OC1_396692365,1229,60,2,17,35581,13609,513,1343,369,35929,56,386,184,136,112,47,28,12,False,0,False,0,True,1,True,6,26883,False,17,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,360,777,58,11,99,104,11,63,105,266,100,True
OC1_396692365,1229,55,3,14,38449,11659,461,511,376,34690,58,1215,268,150,142,27,19,14,False,0,True,1,False,0,False,1,10345,True,21,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,360,777,58,11,99,104,11,63,105,266,200,False
OC1_395532005,2306,130,2,13,117275,27732,1873,1184,566,68856,84,432,389,225,248,98,43,28,True,1,True,3,True,4,False,10,76945,False,43,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,238,360,122,105,157,84,164,53,25,11,100,True
OC1_395532005,2306,145,6,13,115606,50979,1467,1491,557,67949,85,566,514,300,241,71,37,30,False,0,False,3,False,0,True,4,58652,True,50,False,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,238,360,122,105,157,84,164,53,25,11,200,False
OC1_393388759,1724,108,2,9,94694,28028,719,785,493,58727,69,507,375,291,159,47,22,30,False,0,True,3,True,2,True,11,55535,True,45,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,90,157,20,60,67,236,245,875,555,238,100,True
OC1_393388759,1724,98,2,12,60458,24359,1043,1404,443,45505,64,618,373,264,152,41,31,23,False,0,False,1,False,0,False,0,10945,False,24,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,90,157,20,60,67,236,245,875,555,238,200,False
OC1_393336032,1674,54,1,10,111524,26975,1168,574,392,60470,74,602,329,267,283,114,27,38,True,1,False,0,True,2,True,9,44238,True,49,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,157,777,51,11,141,39,202,54,111,33,200,True
