matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_490665129,2312,248,16,34,155069,57048,1340,1971,831,81537,88,1186,601,389,527,110,49,30,True,3,False,1,False,1,False,5,101383,False,44,True,1,92,9,23,202,111,114,154,157,21,267,246,25,350,104,875,350,236,35,25,246,100,False
OC1_490664891,191,2,1,6,1722,2376,0,54,40,4771,13,1294,25,15,14,1,3,2,False,0,False,0,False,0,False,0,706,False,0,False,0,266,9,23,21,43,24,5,517,236,201,267,350,62,245,35,875,350,38,104,17,100,True
OC1_490664891,191,2,0,4,1296,1125,0,49,22,4220,12,1709,15,5,12,0,2,3,False,0,False,0,False,0,False,0,0,False,0,False,0,24,5,517,236,201,266,9,23,21,43,267,350,62,245,35,875,350,38,104,17,200,False
OC1_490673517,2737,234,24,42,158917,54756,1864,1727,838,87434,88,1123,650,485,662,91,45,34,False,1,True,4,False,1,False,7,92932,False,44,False,0,85,121,23,29,117,82,11,238,81,267,104,164,35,17,350,89,350,91,34,39,200,True
OC1_490673517,2737,198,14,27,151820,56239,1750,1038,804,83981,89,1651,856,358,423,104,52,28,True,2,False,3,True,1,True,6,100086,True,45,True,1,82,11,238,81,267,85,121,23,29,117,104,164,35,17,350,89,350,91,34,39,100,False
OC1_490651350,1304,94,13,20,55721,13339,360,1158,493,43619,63,1394,308,207,198,28,17,28,False,0,True,3,False,0,True,5,52351,True,26,True,1,54,245,246,498,111,164,234,3,67,267,34,350,141,517,711,875,104,24,350,117,200,True
OC1_490651350,1304,40,8,9,34308,10673,546,483,472,36040,56,2098,368,117,141,21,9,20,False,0,False,0,False,0,False,1,10307,False,13,False,0,164,234,3,67,267,54,245,246,498,111,34,350,141,517,711,875,104,24,350,117,100,False
OC1_490661074,1795,172,18,31,73309,22619,525,1133,692,58690,77,1685,507,358,278,87,37,19,True,1,True,4,True,2,True,9,81638,True,21,True,2,17,64,18,236,40,164,121,4,30,235,267,119,350,104,875,711,875,350,90,246,100,True
OC1_490661074,1795,160,11,16,78245,25798,587,872,667,50641,71,1903,811,341,215,42,23,24,False,0,False,0,False,0,False,1,13379,False,17,False,0,164,121,4,30,235,17,64,18,236,40,267,119,350,104,875,711,875,350,90,246,200,False
OC1_490650711,913,73,10,19,28437,14232,24,991,381,31829,51,1154,327,232,133,10,6,15,False,0,True,1,False,0,True,3,15708,True,18,False,0,98,9,157,523,16,79,245,91,202,43,111,246,350,7,23,166,777,164,104,121,200,True
OC1_490650711,913,39,5,11,17132,9393,378,731,321,21771,43,1114,237,142,163,24,10,18,False,0,False,0,False,0,False,0,13425,False,2,True,1,79,245,91,202,43,98,9,157,523,16,111,246,350,7,23,166,777,164,104,121,100,False
OC1_490650335,1604,158,13,20,92158,30349,863,1011,616,61073,75,1196,577,325,268,70,20,33,False,0,True,3,True,3,True,11,66744,True,40,True,1,48,91,10,81,101,164,28,246,523,111,119,350,104,122,127,223,141,166,25,350,100,True
OC1_490650335,1604,130,12,23,84544,17427,1125,721,559,48517,70,1621,840,341,199,31,21,31,False,0,False,0,False,0,False,2,15605,False,28,False,0,164,28,246,523,111,48,91,10,81,101,119,350,104,122,127,223,141,166,25,350,200,False
OC1_490522695,1741,135,16,26,89859,63638,482,1697,613,57834,73,1580,520,339,257,61,38,29,True,1,True,4,True,1,True,8,78937,True,30,True,2,516,106,39,50,12,876,20,23,145,99,203,7,350,267,114,350,-1,35,113,21,200,True
OC1_490522695,1741,121,4,12,103393,30690,886,1678,590,47234,67,1167,357,151,595,38,32,20,False,0,False,1,False,0,False,3,24248,False,16,False,0,876,20,23,145,99,516,106,39,50,12,203,7,350,267,114,350,-1,35,113,21,100,False
